size,cpus,time
7000,16,286.5008517
100,2,0.0011175
200,2,0.0063757
400,2,0.0487834
800,2,0.397444
1000,2,0.7978887
1200,2,1.4210324
1400,2,2.7001656
1600,2,4.9315058
2000,2,12.2497544
2600,2,36.5720271
3000,2,55.9094849
3600,2,93.0246124
4000,2,121.6882937
5000,2,218.8334165
6000,2,350.0428215
7000,2,582.746372
100,1,0.0013345
200,1,0.0106768
400,1,0.0931594
800,1,0.8002728
1000,1,1.5540098
1200,1,2.8292362
1400,1,5.0184772
1600,1,8.2522702
2000,1,15.5202845
2600,1,47.9844511
3000,1,79.5691875
3600,1,129.8706612
4000,1,172.2480726
5000,1,355.0773588
6000,1,600.6578297
7000,1,1072.984348
100,1,0.0013579
200,1,0.0103932
400,1,0.0924979
800,1,0.8037118
1000,1,1.5494933
1200,1,2.9162594
1400,1,4.7168959
1600,1,7.7828525
2000,1,16.2559415
2600,1,48.3126091
3000,1,78.7722111
3600,1,129.9089211
4000,1,172.7665071
5000,1,358.0765762
6000,1,599.0792805
7000,1,1069.755628
100,2,0.0014607
200,2,0.0057686
400,2,0.0591578
800,2,0.3868178
1200,2,1.4072854
1000,2,0.8848361
1400,2,3.043177
1600,2,5.54903
2000,2,12.5100808
2600,2,35.6191965
3000,2,54.8190865
3600,2,88.9374754
4000,2,117.585418
5000,2,216.8607596
6000,2,348.2069414
7000,2,586.0269759
100,4,0.0024341
200,4,0.0072357
400,4,0.0259036
1000,4,0.4117572
800,4,0.2233787
1200,4,1.3328647
1400,4,3.3595422
1600,4,5.0131636
2000,4,11.8752155
2600,4,39.1276307
3000,4,60.3673914
3600,4,90.2040479
4000,4,113.4388489
5000,4,179.4105637
6000,4,261.2311159
7000,4,377.2153064
100,8,0.0043102
200,8,0.004384
400,8,0.0194881
800,8,0.1308166
1000,8,0.2339514
1200,8,0.4059591
1600,8,4.2179737
1400,8,3.9358681
2000,8,9.73809
2600,8,25.9295277
3000,8,42.0611274
3600,8,74.9679868
4000,8,100.9207773
5000,8,188.3573095
6000,8,252.4379674
7000,8,310.2231686
100,10,0.0052671
200,10,0.0068172
1200,10,0.4262014
400,10,0.3829826
1000,10,0.6925388
800,10,1.7085185
1400,10,3.2135314
1600,10,5.4711903
2000,10,10.182818
2600,10,24.8176191
3000,10,47.9778233
3600,10,85.4398514
4000,10,111.1582573
5000,10,188.7544534
6000,10,248.4725441
7000,10,294.5442058
100,16,0.0033102
200,16,0.0045881
800,16,0.1085101
1000,16,0.1507112
400,16,0.0162872
1600,16,1.1009846
1400,16,4.2408707
1200,16,4.360088
2000,16,13.9701353
2600,16,28.3886391
3000,16,43.8354521
3600,16,80.6314392
4000,16,106.157723
5000,16,177.8046429
6000,16,241.7709838
7000,16,283.1434201
100,2,0.0021034
200,2,0.0065295
400,2,0.0508963
800,2,0.3960467
1000,2,0.7807991
1200,2,1.7439735
1400,2,3.0459555
1600,2,4.9780616
2000,2,13.5942706
2600,2,37.5018435
3000,2,56.2512933
3600,2,94.504935
4000,2,122.6938312
5000,2,220.5481608
6000,2,352.8688452
7000,2,585.4259429
100,1,0.0013179
200,1,0.0107498
400,1,0.0907265
800,1,0.7910824
1000,1,1.619123
1200,1,3.092858
1400,1,5.009992
1600,1,8.0686613
2000,1,16.64913
2600,1,49.6468342
3000,1,81.0396417
3600,1,134.3814245
4000,1,176.3764452
5000,1,364.1009678
6000,1,634.6339468
7000,1,1129.601961
100,2,0.0013619
